school_name,domain
常州大学,cczu.edu.cn
西交利物浦大学,xjtlu.edu.cn
沈阳农业大学,syau.edu.cn
河南师范大学,htu.edu.cn
重庆邮电大学,cqupt.edu.cn
广州中医药大学,gzucm.edu.cn
安徽农业大学,ahau.edu.cn
成都理工大学,cdut.edu.cn
安徽医科大学,ahmu.edu.cn
广西师范大学,gxnu.edu.cn
黑龙江大学,hlju.edu.cn
上海体育大学,sus.edu.cn
西南政法大学,swupl.edu.cn
北京建筑大学,bucea.edu.cn
武汉工程大学,wit.edu.cn
南通大学,ntu.edu.cn
浙江中医药大学,zcmu.edu.cn
河北师范大学,hebtu.edu.cn
广西医科大学,gxmu.edu.cn
天津科技大学,tust.edu.cn
青岛科技大学,qust.edu.cn
华侨大学,hqu.edu.cn
广东外语外贸大学,gdufs.edu.cn
河南科技大学,haust.edu.cn
延边大学,ybu.edu.cn
山西医科大学,sxmu.edu.cn
汕头大学,stu.edu.cn
武汉纺织大学,wtu.edu.cn
南京财经大学,nufe.edu.cn
天津中医药大学,tjutcm.edu.cn
江西理工大学,jxust.edu.cn
西安科技大学,xust.edu.cn
集美大学,jmu.edu.cn
西北师范大学,nwnu.edu.cn
湖南农业大学,hunau.edu.cn
青海大学,qhu.edu.cn
成都中医药大学,cdutcm.edu.cn
辽宁师范大学,lnnu.edu.cn
浙江财经大学,zufe.edu.cn
上海海事大学,shmtu.edu.cn
吉林农业大学,jlau.edu.cn
上海对外经贸大学,suibe.edu.cn
曲阜师范大学,qfnu.edu.cn
三峡大学,ctgu.edu.cn
深圳北理莫斯科大学,szmsubit.edu.cn
华东交通大学,ecjtu.jx.cn
济南大学,ujn.edu.cn
中北大学,nuc.edu.cn
山东财经大学,sdufe.edu.cn
南昌航空大学,nchu.edu.cn
天津理工大学,tjut.edu.cn
湖南科技大学,hnust.edu.cn
安徽工业大学,ahut.edu.cn
长江大学,yangtzeu.edu.cn
兰州理工大学,lut.cn
重庆交通大学,cqjtu.edu.cn
沈阳工业大学,sut.edu.cn
烟台大学,ytu.edu.cn
山东理工大学,sdut.edu.cn
安徽理工大学,aust.edu.cn
西藏大学,utibet.edu.cn
上海电力大学,shiep.edu.cn
北京工商大学,btbu.edu.cn
河北农业大学,hebau.edu.cn
北方工业大学,ncut.edu.cn
西安邮电大学,xiyou.edu.cn
北京电子科技学院,besti.edu.cn
四川师范大学,sicnu.edu.cn
云南师范大学,ynnu.edu.cn
南华大学,usc.edu.cn
江西农业大学,jxau.edu.cn
山东第一医科大学,sdfmu.edu.cn
河南理工大学,hpu.edu.cn
苏州科技大学,usts.edu.cn
内蒙古农业大学,imau.edu.cn
北京信息科技大学,bistu.edu.cn
兰州交通大学,lzjtu.edu.cn
北京师范大学-香港浸会大学联合国际学院,uic.edu.cn
南京审计大学,nau.edu.cn
河南工业大学,haut.edu.cn
天津财经大学,tjufe.edu.cn
青岛理工大学,qtech.edu.cn
中国人民公安大学,cppsu.edu.cn
大连工业大学,dlpu.edu.cn
徐州医科大学,xzhmu.edu.cn
国际关系学院,uir.cn
沈阳航空航天大学,sau.edu.cn
沈阳药科大学,syphu.edu.cn
沈阳建筑大学,sjzu.edu.cn
重庆师范大学,cqnu.edu.cn
中南民族大学,scuec.edu.cn
青岛农业大学,qau.edu.cn
北京体育大学,bsu.edu.cn
山西农业大学,sxau.edu.cn
西安工业大学,xatu.cn
湖州师范学院,zjhu.edu.cn
东北石油大学,nepu.edu.cn
佛山大学,fosu.edu.cn
嘉兴大学,zjxu.edu.cn
浙江海洋大学,zjou.edu.cn
西南科技大学,swust.edu.cn
海南师范大学,hainnu.edu.cn
石家庄铁道大学,stdu.edu.cn
青海师范大学,qhnu.edu.cn
上海工程技术大学,sues.edu.cn
河北科技大学,hebust.edu.cn
安徽财经大学,aufe.edu.cn
中南林业科技大学,csuft.edu.cn
桂林电子科技大学,gliet.edu.cn
哈尔滨理工大学,hrbust.edu.cn
成都大学,cdu.edu.cn
甘肃农业大学,gsau.edu.cn
东莞理工学院,dgut.edu.cn
鲁东大学,ldu.edu.cn
浙江科技大学,zust.edu.cn
重庆理工大学,cqut.edu.cn
内蒙古师范大学,imnu.edu.cn
聊城大学,lcu.edu.cn
沈阳化工大学,syuct.edu.cn
西南医科大学,scmu.edu.cn
山东建筑大学,sdjzu.edu.cn
宁夏医科大学,nxmu.edu.cn
东华理工大学,ecit.edu.cn
山东中医药大学,sdutcm.edu.cn
哈尔滨师范大学,hrbnu.edu.cn
武汉轻工大学,whpu.edu.cn
赣南师范大学,gnnu.cn
北京第二外国语学院,bisu.edu.cn
长春工业大学,ccut.edu.cn
西北政法大学,nwupl.edu.cn
渤海大学,bhu.edu.cn
华北水利水电大学,ncwu.edu.cn
上海应用技术大学,sit.edu.cn
西安石油大学,xapi.edu.cn
温州肯恩大学,wku.edu.cn
山西师范大学,sxnu.edu.cn
郑州轻工业大学,zzuli.edu.cn
东北电力大学,nedu.edu.cn
滨州医学院,bzmc.edu.cn
贵州师范大学,gznu.edu.cn
大连大学,dlu.edu.cn
辽宁石油化工大学,lnpu.edu.cn
西华师范大学,cwnu.edu.cn
新疆医科大学,xjmu.edu.cn
北京农学院,bac.edu.cn
南京工程学院,njit.edu.cn
安徽工程大学,ahpu.edu.cn
浙大城市学院,zucc.edu.cn
沈阳师范大学,synu.edu.cn
湖南中医药大学,hnctcm.edu.cn
大连交通大学,djtu.edu.cn
成都信息工程大学,cuit.edu.cn
河南中医药大学,hactcm.edu.cn
上海海关学院,shcc.edu.cn
新乡医学院,xxmu.edu.cn
西安工程大学,xpu.edu.cn
桂林理工大学,glite.edu.cn
江汉大学,jhun.edu.cn
上海政法学院,shupl.edu.cn
沈阳理工大学,syit.edu.cn
安徽建筑大学,ahjzu.edu.cn
湖南工业大学,hut.edu.cn
绍兴文理学院,usx.edu.cn
厦门理工学院,xmut.edu.cn
辽宁工程技术大学,lntu.edu.cn
浙大宁波理工学院,nbt.edu.cn
北京印刷学院,bigc.edu.cn
内蒙古工业大学,imut.edu.cn
昆明医科大学,kmmc.cn
北京石油化工学院,bipt.edu.cn
华北理工大学,ncst.edu.cn
常熟理工学院,cslg.cn
延安大学,yau.edu.cn
中国民航大学,cauc.edu.cn
黑龙江八一农垦大学,byau.edu.cn
中原工学院,zzti.edu.cn
辽宁科技大学,ustl.edu.cn
西南民族大学,swun.edu.cn
沈阳大学,syu.edu.cn
合肥大学,hfuu.edu.cn
辽宁中医药大学,lnutcm.edu.cn
北华大学,beihua.edu.cn
新疆农业大学,xjau.edu.cn
北京联合大学,buu.edu.cn
山西财经大学,sxufe.edu.cn
闽江学院,mju.edu.cn
遵义医科大学,zmu.edu.cn
辽宁工业大学,lnit.edu.cn
湖北医药学院,hbmu.edu.cn
宁波工程学院,nbut.edu.cn
河北工程大学,hebeu.edu.cn
盐城工学院,ycit.cn
云南农业大学,ynau.edu.cn
太原科技大学,tyust.edu.cn
吉首大学,jsu.edu.cn
重庆科技大学,cqust.edu.cn
广东海洋大学,gdou.edu.cn
大连海洋大学,dlou.edu.cn
内蒙古医科大学,immc.edu.cn
淮阴工学院,hyit.edu.cn
内蒙古科技大学,imust.edu.cn
山东第二医科大学,wfmc.edu.cn
台州学院,tzc.edu.cn
重庆工商大学,ctbu.edu.cn
黑龙江中医药大学,hljucm.net
塔里木大学,taru.edu.cn
信阳师范大学,xytc.edu.cn
西华大学,xhu.edu.cn
湖南理工学院,hnist.cn
大理大学,dali.edu.cn
景德镇陶瓷大学,jci.edu.cn
新疆师范大学,xjnu.edu.cn
贵州医科大学,gmc.edu.cn
吉林财经大学,cc.jl.cn
四川外国语大学,sisu.edu.cn
吉林师范大学,jlnu.edu.cn
广东医科大学,gdmu.edu.cn
河北经贸大学,heuet.edu.cn
长春师范大学,cncnc.edu.cn
大连外国语大学,dlufl.edu.cn
西南林业大学,swfc.edu.cn
长江师范学院,yznu.cn
盐城师范学院,yctc.edu.cn
江苏理工学院,jstu.edu.cn
闽南师范大学,fjzs.edu.cn
广东财经大学,gdufe.edu.cn
淮阴师范学院,hytc.edu.cn
福建理工大学,fjut.edu.cn
江西中医药大学,jxutcm.edu.cn
河北地质大学,hgu.edu.cn
淮北师范大学,hbcnc.edu.cn
海南医科大学,hainmc.edu.cn
南宁师范大学,nnnu.edu.cn
贵州师范学院,gznc.edu.cn
河南财经政法大学,huel.edu.cn
西安外国语大学,xisu.edu.cn
常州工学院,czu.cn
北京物资学院,bwu.edu.cn
锦州医科大学,lnmu.edu.cn
上海第二工业大学,sspu.edu.cn
长春中医药大学,ccucm.edu.cn
天津城建大学,tjuci.edu.cn
广东技术师范大学,gpnu.edu.cn
上海电机学院,sdju.edu.cn
徐州工程学院,xzit.edu.cn
湖北师范大学,hbnu.edu.cn
江苏海洋大学,jou.edu.cn
广西中医药大学,gxtcmu.edu.cn
首都体育学院,cupes.edu.cn
吉林建筑大学,jlju.edu.cn
湖北中医药大学,hbtcm.edu.cn
安庆师范大学,aqnu.edu.cn
长沙学院,ccsu.cn
南昌工程学院,nit.edu.cn
山东交通学院,sdjtu.edu.cn
五邑大学,wyu.edu.cn
河南科技学院,hist.edu.cn
江西科技师范大学,jxstnu.edu.cn
桂林医学院,glmc.edu.cn
井冈山大学,jgsu.edu.cn
重庆文理学院,cqwu.net
浙江万里学院,zjwu.net
湖南第一师范学院,hnfnu.edu.cn
陕西理工大学,snut.edu.cn
洛阳师范学院,lynu.edu.cn
天津职业技术师范大学,tute.edu.cn
仲恺农业工程学院,zhku.edu.cn
衡阳师范学院,hynu.edu.cn
